# Formatted output sample - tab-separated:
# <ansi_display>\t<command>\t<description>\t<tags>\t<examples>

# List branches with last commit info                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: # List branches with last commit info[0m	# List branches with last commit info	History: # List branches with last commit info		# List branches with last commit info
# Use template to rearrange fields\; echo foo,bar,baz | fzf --delimiter , --with-nth '{n},{1},{3},{2},{1..2}'                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: # Use template to rearrange fields\; echo foo,bar,[0m	# Use template to rearrange fields\; echo foo,bar,baz | fzf --delimiter , --with-nth '{n},{1},{3},{2},{1..2}'	History: # Use template to rearrange fields\; echo foo,bar,		# Use template to rearrange fields\; echo foo,bar,baz | fzf --delimiter , --with-nth '{n},{1},{3},{2},{1..2}'
./bin/dev                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: ./bin/dev[0m	./bin/dev	History: ./bin/dev		./bin/dev
./bin/watch                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: ./bin/watch[0m	./bin/watch	History: ./bin/watch		./bin/watch
./run_tests.sh                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: ./run_tests.sh[0m	./run_tests.sh	History: ./run_tests.sh		./run_tests.sh
./scripts/refresh_cache.sh                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: ./scripts/refresh_cache.sh[0m	./scripts/refresh_cache.sh	History: ./scripts/refresh_cache.sh		./scripts/refresh_cache.sh
./scripts/run_tests.sh                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: ./scripts/run_tests.sh[0m	./scripts/run_tests.sh	History: ./scripts/run_tests.sh		./scripts/run_tests.sh
/Users/rioredwards/.dotfiles/zsh/fz-cmd/generate-tldr-cache.py                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: /Users/rioredwards/.dotfiles/zsh/fz-cmd/generate-t[0m	/Users/rioredwards/.dotfiles/zsh/fz-cmd/generate-tldr-cache.py	History: /Users/rioredwards/.dotfiles/zsh/fz-cmd/generate-t		/Users/rioredwards/.dotfiles/zsh/fz-cmd/generate-tldr-cache.py
/Users/rioredwards/scripts/                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: /Users/rioredwards/scripts/[0m	/Users/rioredwards/scripts/	History: /Users/rioredwards/scripts/		/Users/rioredwards/scripts/
add-alias                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: add-alias[0m	add-alias	History: add-alias		add-alias
add-alias "mjump() {\                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: add-alias "mjump() {\[0m	add-alias "mjump() {\	History: add-alias "mjump() {\		add-alias "mjump() {\
add-alias mjump() {\                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: add-alias mjump() {\[0m	add-alias mjump() {\	History: add-alias mjump() {\		add-alias mjump() {\
als                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: als[0m	als	History: als		als
apropos directory | fzf | sed 's/ (.*//' | xargs -r man                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: apropos directory | fzf | sed 's/ (.*//' | xargs -[0m	apropos directory | fzf | sed 's/ (.*//' | xargs -r man	History: apropos directory | fzf | sed 's/ (.*//' | xargs -		apropos directory | fzf | sed 's/ (.*//' | xargs -r man
apropos ssh \\; | fzf --preview 'echo {} | sed "s/ (.*//" | xargs man | col -bx | bat -l man -p'                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: apropos ssh \\; | fzf --preview 'echo {} | sed "s/[0m	apropos ssh \\; | fzf --preview 'echo {} | sed "s/ (.*//" | xargs man | col -bx | bat -l man -p'	History: apropos ssh \\; | fzf --preview 'echo {} | sed "s/		apropos ssh \\; | fzf --preview 'echo {} | sed "s/ (.*//" | xargs man | col -bx | bat -l man -p'
apropos ssh | fzf | sed 's/ (.*//' | xargs -r man                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: apropos ssh | fzf | sed 's/ (.*//' | xargs -r man[0m	apropos ssh | fzf | sed 's/ (.*//' | xargs -r man	History: apropos ssh | fzf | sed 's/ (.*//' | xargs -r man		apropos ssh | fzf | sed 's/ (.*//' | xargs -r man
bat .env                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: bat .env[0m	bat .env	History: bat .env		bat .env
